cmte_id,cand_id,cand_nm,recipient_nm,disb_amt,disb_dt,recipient_city,recipient_st,recipient_zip,disb_desc,memo_cd,memo_text,form_tp,file_num,tran_id,election_tp
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","ALASKA  REPUBLICAN PARTY",500,11-SEP-15,"ANCHORAGE","AK","99503","BOOTH RENTAL","","","SB23","1053893","SB23.1008","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","ALASKA  REPUBLICAN PARTY",2500,26-OCT-15,"ANCHORAGE","AK","99503","BALLOT ACCESS FEE","","","SB23","1057556","SB23.90100","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","WALMART",67.36,31-AUG-15,"HUNTSVILLE","AL","35806","FOOD/BEVERAGES","X","","SB23","1053893","SB23UV.4692","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","CANTINA GRILL",37.51,03-SEP-15,"BIRMINGHAM","AL","35233","FOOD/BEVERAGES","X","","SB23","1053893","SBCCUV1.9291","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","HAMPTON INN  BIRMINGHAM",211.03,03-SEP-15,"BIRMINGHAM","AL","35209","TRAVEL","X","","SB23","1053893","SBCCUV1.9895","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","JACKSON CENTER",300,18-AUG-15,"HUNTSVILLE","AL","35806","FACILITY RENTAL","","","SB23","1053893","SB23.1100","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","WALMART",173.39,31-AUG-15,"HUNTSVILLE","AL","35806","FOOD/BEVERAGES","X","","SB23","1053893","SB23UV.4693","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","CANTINA GRILL",13.19,06-NOV-15,"BIRMINGHAM","AL","35233","FOOD/BEVERAGES","X","","SB23","1057556","SBCCUV45.9268","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","THE CLUB INC",696.96,04-OCT-15,"BIRMINGHAM","AL","35209","TRAVEL/FOOD/BEVERAGES","X","","SB23","1057556","SBUC23.513","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","MARTIN, CHIP",105,05-JAN-16,"DAPHNE","AL","36526","PERSONNEL SERVICE/EQUIPMENT","","","SB23","1051537","SB239.90387","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","HAMPTON INN  BIRMINGHAM",622.56,05-JAN-16,"BIRMINGHAM","AL","35209","TRAVEL","X","","SB23","1051537","SBCCUV23.4935","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","HAMPTON INN  BIRMINGHAM",622.56,05-JAN-16,"BIRMINGHAM","AL","35209","TRAVEL","X","","SB23","1051537","SBCCUV23.4936","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","HAMPTON INN  BIRMINGHAM",609.6,05-JAN-16,"BIRMINGHAM","AL","35209","TRAVEL","X","","SB23","1051537","SBCCUV23.4937","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","HANA WASABI",23.25,05-JAN-16,"MOBILE","AL","36608","FOOD/BEVERAGES","X","","SB23","1051537","SBCCUV23.4690","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","DUPLICATOR PRINTING & COPY",857.22,05-JAN-16,"DAPHNE","AL","36526","PRINTING","X","","SB23","1051537","SBCCUV23.4739","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","DAPHNE POLICE DEPARTMENT",840,05-JAN-16,"DAPHNE","AL","36526","PERSONNEL SERVICE/EQUIPMENT","","","SB23","1051537","SB239.90388","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","DORSETT PRODUCTIONS UNLIMITED LLC",1450,05-JAN-16,"MOBILE","AL","36685","EQUIPMENT RENTAL","","","SB23","1051537","SB239.90146","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","BHM TAXI",63.25,05-JAN-16,"BIRMINGHAM","AL","35208","TRAVEL","X","","SB23","1051537","SBCCUV23.4775","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","BRYON RICKARD CATERING LLC",953,05-JAN-16,"BIRMINGHAM","AL","35216","CATERING","X","","SB23","1051537","SBCCUV23.4571","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","MARRIOTT BIRMINGHAM",168.92,05-JAN-16,"BIRMINGHAM","AL","35243","TRAVEL","X","","SB23","1051537","SBCCUV23.4789","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","MARRIOTT BIRMINGHAM",478.14,05-JAN-16,"BIRMINGHAM","AL","35243","TRAVEL","X","","SB23","1051537","SBCCUV23.4844","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","FROST SYSTEMS",1000,19-JAN-16,"TRUSSVILLE","AL","35173","EQUIPMENT RENTAL","","","SB23","1051537","SB239.90147","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","JIM'N NICK'S BAR-B-Q",76.1,03-SEP-15,"BIRMINGHAM","AL","35242","FOOD/BEVERAGES","X","","SB23","1053893","SBCCUV1.9300","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","MARRIOTT BIRMINGHAM",116.33,03-SEP-15,"BIRMINGHAM","AL","35243","TRAVEL","X","","SB23","1053893","SBCCUV1.10047","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","MARRIOTT BIRMINGHAM",39.77,03-SEP-15,"BIRMINGHAM","AL","35243","TRAVEL","X","","SB23","1053893","SBCCUV1.10048","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","MARRIOTT BIRMINGHAM",116.33,03-SEP-15,"BIRMINGHAM","AL","35243","TRAVEL","X","","SB23","1053893","SBCCUV1.9843","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","MARRIOTT BIRMINGHAM",116.33,03-SEP-15,"BIRMINGHAM","AL","35243","TRAVEL","X","","SB23","1053893","SBCCUV1.9909","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","MARRIOTT BIRMINGHAM",7.1,03-SEP-15,"BIRMINGHAM","AL","35243","TRAVEL","X","","SB23","1053893","SBCCUV1.9923","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","CENTURY RESTAURANT AND BAR",12.17,03-SEP-15,"BIRMINGHAM","AL","35203","FOOD/BEVERAGES","X","","SB23","1053893","SBCCUV1.9016","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","CITY OF PELHAM",861,18-AUG-15,"PELHAM","AL","35124","FACILITY RENTAL/CATERING","","","SB23","1053893","SB23.1103","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","MARRIOTT",116.33,10-SEP-15,"BIRMINGHAM","AL","35243","TRAVEL","X","","SB23","1053893","SB23UV.4580","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","CHAIRMAN- ALABAMA REPUBLICAN EXECUTIVE CO",10000,23-OCT-15,"BIRMINGHAM","AL","35216","BALLOT ACCESS FEE","","","SB23","1057556","SB23.90101","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","CITY OF DOUBLE SPRINGS",35,23-OCT-15,"DOUBEL SPRINGS","AL","35553","REGISTRATION FEES","","","SB23","1057556","SB23.90848","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","VALLEY PRODUCTION INC",60,06-NOV-15,"TUSCUMBIA","AL","35674","REGISTRATION FEE","X","","SB23","1057556","SBCCUV45.9547","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","HAMPTON INN",293.75,10-SEP-15,"BIRMINGHAM","AL","35203","TRAVEL","X","","SB23","1053893","SB23UV.4685","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","SONIC DRIVE-IN BIRMINGHAM",58.83,03-SEP-15,"BIRMINGHAM","AL","35209","FOOD/BEVERAGES","X","","SB23","1053893","SBCCUV1.9334","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","SONIC DRIVE-IN BIRMINGHAM",24.56,03-SEP-15,"BIRMINGHAM","AL","35209","TRAVEL","X","","SB23","1053893","SBCCUV1.9424","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","MULLINS SPECIAL OCCASIONS",459.5,03-SEP-15,"HUNTSVILLE","AL","35801","EQUIPMENT RENTAL","X","","SB23","1053893","SBCCUV1.9103","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","HAMPTON INN  BIRMINGHAM",267.08,03-SEP-15,"BIRMINGHAM","AL","35209","TRAVEL","X","","SB23","1053893","SBCCUV1.9894","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","SADIES HOTELS",722,05-OCT-15,"PAGO PAGO","AM","96799","TRAVEL/FOOD/BEVERAGES","X","","SB23","1057556","SBUC23.350","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","SADIES HOTELS",1784.35,05-OCT-15,"PAGO PAGO","AM","96799","TRAVEL/FOOD/BEVERAGES","X","","SB23","1057556","SBUC23.349","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","LARRY ROBERTS A/V PRODUCTION",150,31-AUG-15,"RUSSELLVILLE","AR","72801","EQUIPMENT RENTAL","","","SB23","1053893","SB23.1094","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","SHAMROCK- FORT SMITH",39.42,03-SEP-15,"FORT SMITH","AR","72904","FOOD/BEVERAGES","X","","SB23","1053893","SBCCUV1.9274","",
