cmte_id,cand_id,cand_nm,recipient_nm,disb_amt,disb_dt,recipient_city,recipient_st,recipient_zip,disb_desc,memo_cd,memo_text,form_tp,file_num,tran_id,election_tp
C00580100,"P80001571","Trump, Donald J.","ALABAMA FLAG & BANNER",1576.3,26-FEB-16,"HUNTSVILLE","AL","35805","PRINTING AND DESIGN SERVICES [AMEX: SB23","X","","SB23","1066437","SB23.456057","P2016",
C00580100,"P80001571","Trump, Donald J.","MULLINS SPECIAL",260.4,27-FEB-16,"HUNTSVILLE","AL","35801","EVENT STAGING EXPENSE [AMEX: SB23.455063","X","","SB23","1066437","SB23.455872","P2016",
C00580100,"P80001571","Trump, Donald J.","HAMPTON INN",339.72,01-SEP-15,"MOBILE","AL","36602","TRAVEL: LODGING [TELION: SB23.7327]","X","","SB23","1036338","SB23.8092","P2016",
C00580100,"P80001571","Trump, Donald J.","RENAISSANCE MOBILE RIVERVIEW PLAZA",509.58,31-AUG-15,"MOBILE","AL","36602","TRAVEL: LODGING [KAREM: SB23.6742]","X","","SB23","1036338","SB23.8664","P2016",
C00580100,"P80001571","Trump, Donald J.","BEDSOLE, CHESS",14654.98,17-DEC-15,"BIRMINGHAM","AL","35222","FIELD CONSULTING","","","SB23","1047287","SB23.248415","P2016",
C00580100,"P80001571","Trump, Donald J.","MEDIA WORKS COMMUNICATIONS",16800,10-DEC-15,"BIRMINGHAM","AL","35243","EVENT STAGING EXPENSE","","","SB23","1047287","SB23.248924","P2016",
C00580100,"P80001571","Trump, Donald J.","THE BIRMINGHAM JEFFERSON CIVIC CENTER",3314.1,24-NOV-15,"BIRMINGHAM","AL","35203","FACILITY RENTAL [AMEX: SB23.248392]","X","","SB23","1047287","SB23.255430","P2016",
C00580100,"P80001571","Trump, Donald J.","THE BIRMINGHAM JEFFERSON CIVIC CENTER",9900,16-NOV-15,"BIRMINGHAM","AL","35203","FACILITY RENTAL [AMEX: SB23.248392]","X","","SB23","1047287","SB23.255280","P2016",
C00580100,"P80001571","Trump, Donald J.","DORSETT PRODUCTIONS UNLIMITED, LLC",31725,31-AUG-15,"MOBILE","AL","36685","EVENT STAGING EXPENSE","","","SB23","1036338","SB23.6989","P2016",
C00580100,"P80001571","Trump, Donald J.","COLONIAL TRAILWAYS",5120,21-AUG-15,"MOBILE","AL","36606","TRAVEL: GROUND TRANSPORTATION","","","SB23","1036338","SB23.6974","P2016",
